# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:55:34.186579Z,210.680,62,113,warmup,5.5
2025-12-31T13:55:35.426579Z,211.920,83,113,warmup,5.5
2025-12-31T13:55:36.746579Z,213.240,60,111,warmup,5.5
2025-12-31T13:55:38.306579Z,214.800,70,112,warmup,5.5
2025-12-31T13:55:41.066579Z,217.560,41,114,warmup,5.5
2025-12-31T13:55:42.306579Z,218.800,67,114,warmup,5.5
2025-12-31T13:55:43.666579Z,220.160,92,114,warmup,5.5
2025-12-31T13:55:45.186579Z,221.680,68,116,warmup,5.5
2025-12-31T13:55:46.506579Z,223.000,63,116,warmup,5.5
2025-12-31T13:55:47.826579Z,224.320,67,115,warmup,5.5
2025-12-31T13:55:49.026579Z,225.520,167,111,warmup,5.5
2025-12-31T13:55:51.586579Z,228.080,107,114,warmup,5.5
2025-12-31T13:55:53.306579Z,229.800,39,115,warmup,5.5
2025-12-31T13:55:54.666579Z,231.160,71,117,warmup,5.5
2025-12-31T13:55:56.186579Z,232.680,61,117,warmup,5.5
2025-12-31T13:55:57.666579Z,234.160,58,114,warmup,5.5
2025-12-31T13:55:59.106579Z,235.600,44,113,warmup,5.5
2025-12-31T13:56:00.346579Z,236.840,61,110,warmup,5.5
2025-12-31T13:56:01.546579Z,238.040,65,112,warmup,5.5
2025-12-31T13:56:02.786579Z,239.280,72,113,warmup,5.5
2025-12-31T13:56:04.146579Z,240.640,63,112,warmup,5.5
2025-12-31T13:56:05.506579Z,242.000,68,110,warmup,5.5
2025-12-31T13:56:06.746579Z,243.240,74,111,warmup,5.5
2025-12-31T13:56:07.826579Z,244.320,77,109,warmup,5.5
2025-12-31T13:56:09.626579Z,246.120,66,108,warmup,5.5
2025-12-31T13:56:10.586579Z,247.080,72,111,warmup,5.5
2025-12-31T13:56:11.866579Z,248.360,68,113,warmup,5.5
2025-12-31T13:56:13.106579Z,249.600,78,113,warmup,5.5
2025-12-31T13:56:14.106579Z,250.600,95,112,warmup,5.5
2025-12-31T13:56:15.506579Z,252.000,69,112,warmup,5.5
2025-12-31T13:56:16.906579Z,253.400,56,112,warmup,5.5
2025-12-31T13:56:18.426579Z,254.920,61,109,warmup,5.5
2025-12-31T13:56:19.866579Z,256.360,59,110,warmup,5.5
2025-12-31T13:56:21.186579Z,257.680,67,112,warmup,5.5
2025-12-31T13:56:22.506579Z,259.000,66,111,warmup,5.5
2025-12-31T13:56:23.746579Z,260.240,72,110,warmup,5.5
